事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-06-24,東區恊園,隨到隨辦,二房型,關懷戶,待遞補人數變化,2,9,7,東區恊園／隨到隨辦／二房型／關懷戶 待遞補人數增加 7 人
2026-06-24,梧棲三民,隨到隨辦,一房型,一般戶,名冊總人數變化,722,725,3,梧棲三民／隨到隨辦／一房型／一般戶 名冊總人數增加 3 人
2026-06-24,梧棲三民,隨到隨辦,一房型,一般戶,已遞補人數變化,530,531,1,梧棲三民／隨到隨辦／一房型／一般戶 已遞補人數增加 1 人
2026-06-24,梧棲三民,隨到隨辦,一房型,一般戶,待遞補人數變化,11,13,2,梧棲三民／隨到隨辦／一房型／一般戶 待遞補人數增加 2 人
2026-06-24,梧棲三民,隨到隨辦,一房型,關懷戶,已遞補人數變化,262,260,-2,梧棲三民／隨到隨辦／一房型／關懷戶 已遞補人數減少 2 人
2026-06-24,梧棲三民,隨到隨辦,一房型,關懷戶,待遞補人數變化,9,11,2,梧棲三民／隨到隨辦／一房型／關懷戶 待遞補人數增加 2 人
2026-06-24,梧棲三民,隨到隨辦,二房型,關懷戶,已遞補人數變化,138,137,-1,梧棲三民／隨到隨辦／二房型／關懷戶 已遞補人數減少 1 人
2026-06-24,梧棲三民,隨到隨辦,二房型,關懷戶,待遞補人數變化,42,43,1,梧棲三民／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-06-24,西屯國安一期,隨到隨辦,一房型,一般戶,名冊總人數變化,10,17,7,西屯國安一期／隨到隨辦／一房型／一般戶 名冊總人數增加 7 人
2026-06-24,西屯國安一期,隨到隨辦,一房型,一般戶,待遞補人數變化,10,17,7,西屯國安一期／隨到隨辦／一房型／一般戶 待遞補人數增加 7 人
2026-06-24,西屯國安一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,5,8,3,西屯國安一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 3 人
2026-06-24,西屯國安一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,5,8,3,西屯國安一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 3 人
2026-06-24,西屯國安一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,1,3,2,西屯國安一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 2 人
2026-06-24,西屯國安一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,1,3,2,西屯國安一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 2 人
2026-06-24,西屯國安一期,隨到隨辦,二房型,一般戶,名冊總人數變化,6,12,6,西屯國安一期／隨到隨辦／二房型／一般戶 名冊總人數增加 6 人
2026-06-24,西屯國安一期,隨到隨辦,二房型,一般戶,待遞補人數變化,6,12,6,西屯國安一期／隨到隨辦／二房型／一般戶 待遞補人數增加 6 人
2026-06-24,西屯國安一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,6,9,3,西屯國安一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 3 人
2026-06-24,西屯國安一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,6,9,3,西屯國安一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 3 人
2026-06-24,豐原安康一期,隨到隨辦,一房型,一般戶,名冊總人數變化,1203,1206,3,豐原安康一期／隨到隨辦／一房型／一般戶 名冊總人數增加 3 人
2026-06-24,豐原安康一期,隨到隨辦,一房型,一般戶,已放棄人數變化,286,287,1,豐原安康一期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-06-24,豐原安康一期,隨到隨辦,一房型,一般戶,已遞補人數變化,509,508,-1,豐原安康一期／隨到隨辦／一房型／一般戶 已遞補人數減少 1 人
