抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率,已處理人數,上次已處理人數,本次推進人數,本週推進人數,最近4次平均推進人數
2026-06-23,太平長億,隨到隨辦,三房型,關懷戶,0,5,81,86,1.0,5,5.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,二房型,一般戶,6,7,122,135,0.5384615384615384,13,,,,
2026-06-23,太平長億,隨到隨辦,二房型,一般戶,6,7,122,135,0.5384615384615384,13,13.0,0.0,0.0,0.0
2026-06-22,太平長億,隨到隨辦,二房型,關懷戶,1,8,102,111,0.8888888888888888,9,,,,
2026-06-23,太平長億,隨到隨辦,二房型,關懷戶,1,8,102,111,0.8888888888888888,9,9.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,一房型,一般戶,117,40,1179,1336,0.2547770700636942,157,,,,
2026-06-23,東區台中公園一期,新案場招租,一房型,一般戶,117,40,1179,1336,0.2547770700636942,157,157.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,一房型,關懷戶,136,27,76,239,0.1656441717791411,163,,,,
2026-06-23,東區台中公園一期,新案場招租,一房型,關懷戶,136,27,76,239,0.1656441717791411,163,163.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,三房型,一般戶,31,9,30,70,0.225,40,,,,
2026-06-23,東區台中公園一期,新案場招租,三房型,一般戶,31,9,30,70,0.225,40,40.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,三房型,關懷戶,20,3,71,94,0.1304347826086956,23,,,,
2026-06-23,東區台中公園一期,新案場招租,三房型,關懷戶,20,3,71,94,0.1304347826086956,23,23.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,二房型,一般戶,99,18,341,458,0.1538461538461538,117,,,,
2026-06-23,東區台中公園一期,新案場招租,二房型,一般戶,99,18,341,458,0.1538461538461538,117,117.0,0.0,0.0,0.0
2026-06-22,東區台中公園一期,新案場招租,二房型,關懷戶,56,6,154,216,0.0967741935483871,62,,,,
2026-06-23,東區台中公園一期,新案場招租,二房型,關懷戶,56,6,154,216,0.0967741935483871,62,62.0,0.0,0.0,0.0
2026-06-22,東區恊園,隨到隨辦,一房型,一般戶,0,0,6,6,,0,,,,
2026-06-23,東區恊園,隨到隨辦,一房型,一般戶,0,0,10,10,,0,0.0,0.0,0.0,0.0
2026-06-22,東區恊園,隨到隨辦,一房型,關懷戶,0,0,0,0,,0,,,,
2026-06-23,東區恊園,隨到隨辦,一房型,關懷戶,0,0,3,3,,0,0.0,0.0,0.0,0.0
2026-06-22,東區恊園,隨到隨辦,二房型,一般戶,0,0,2,2,,0,,,,
2026-06-23,東區恊園,隨到隨辦,二房型,一般戶,0,0,3,3,,0,0.0,0.0,0.0,0.0
2026-06-22,東區恊園,隨到隨辦,二房型,關懷戶,0,0,2,2,,0,,,,
2026-06-23,東區恊園,隨到隨辦,二房型,關懷戶,0,0,4,4,,0,0.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,一房型,一般戶,530,181,11,722,0.2545710267229255,711,,,,
2026-06-23,梧棲三民,隨到隨辦,一房型,一般戶,530,181,11,722,0.2545710267229255,711,711.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,一房型,關懷戶,262,52,9,323,0.1656050955414012,314,,,,
2026-06-23,梧棲三民,隨到隨辦,一房型,關懷戶,262,52,9,323,0.1656050955414012,314,314.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,三房型,一般戶,25,16,28,69,0.3902439024390244,41,,,,
2026-06-23,梧棲三民,隨到隨辦,三房型,一般戶,25,16,28,69,0.3902439024390244,41,41.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,三房型,關懷戶,37,39,78,154,0.5131578947368421,76,,,,
2026-06-23,梧棲三民,隨到隨辦,三房型,關懷戶,37,39,78,154,0.5131578947368421,76,76.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,二房型,一般戶,186,75,35,296,0.2873563218390804,261,,,,
2026-06-23,梧棲三民,隨到隨辦,二房型,一般戶,186,75,35,296,0.2873563218390804,261,261.0,0.0,0.0,0.0
2026-06-22,梧棲三民,隨到隨辦,二房型,關懷戶,138,42,42,222,0.2333333333333333,180,,,,
